"Source Name",Path,"Date Accessed","Data Source"
"3b1882435511ed127473c0761c46d130.docx.lnk","C:\Users\ken\Documents\3b1882435511ed127473c0761c46d130.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"6.-Papel-de-Trabajo-ISR-Junio-2021.xlsx.lnk","C:\Users\ken\Documents\6.-Papel-de-Trabajo-ISR-Junio-2021.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"1era - MAR_2022 - Nomina - General.xlsx.lnk","C:\Users\ken\Documents\1era - MAR_2022 - Nomina - General.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"resumen-nomina-8-qna-152021.lnk","C:\Users\ken\Documents\resumen-nomina-8-qna-152021.xls","2024-04-23 08:37:31 CST","001-003-LAptop-Pavana T3.E01"
"8541c762-d276-4cb5-ae45-28bd992c062e.htm.lnk","C:\Users\ken\Documents\8541c762-d276-4cb5-ae45-28bd992c062e.htm","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"3er_trimestre_cuentas_de_nomina_2022.xlsx.lnk","C:\Users\ken\Documents\3er_trimestre_cuentas_de_nomina_2022.xlsx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"mapa-mental-estudio-de-mercado-1-2048.webp.lnk","C:\Users\ken\Pictures\mapa-mental-estudio-de-mercado-1-2048.webp","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"Anexo 10-Matriz IPEVRDC .xlsx.lnk","C:\Users\ken\Documents\Anexo 10-Matriz IPEVRDC .xlsx.xls","2024-04-23 00:24:05 CST","001-003-LAptop-Pavana T3.E01"
"Formato-AdhesionMtto-SistemaPagoNomina.docx.lnk","C:\Users\ken\Documents\Formato-AdhesionMtto-SistemaPagoNomina.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"{03087770-0B3C-280C-7503-786970EFECF7}.docx.lnk","C:\Users\ken\Documents\{03087770-0B3C-280C-7503-786970EFECF7}.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Xd.png.lnk,"C:\Users\ken\Downloads\Xd.png","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
Carat.odt.lnk,"C:\Users\ken\Documents\Carat.odt","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"19 1 Temario para el puesto de Administrador de N￳minas.docx.lnk","C:\Users\ken\Documents\19 1 Temario para el puesto de Administrador de N￳minas.docx","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"1345470_Latvian_ShowKeyart_c6786c02-f2e3-ea11-82a8-dd291e252010.lnk","C:\Users\ken\Pictures\1345470_Latvian_ShowKeyart_c6786c02-f2e3-ea11-82a8-dd291e252010.webp","2024-04-22 23:21:29 CST","001-003-LAptop-Pavana T3.E01"
AA1ntRp9.jpg.lnk,"C:\Users\ken\Pictures\AA1ntRp9.jpg","0000-00-00 00:00:00","001-003-LAptop-Pavana T3.E01"
"19 1 Temario para el puesto de Administrador de Nóminas.lnk","C:\Users\ken\Documents\19 1 Temario para el puesto de Administrador de N￳minas.docx","2024-04-23 08:38:23 CST","001-003-LAptop-Pavana T3.E01"
